Hoarder,986,651,"<font size=""14""><b>Development</b></font>
Aside from being endowed with the usual hauling capabilities of Industrials, the Hoarder possesses an extra cargo bay. That bay is a static-free, blast-proof chamber, and as such is meant to be dedicated solely to ferrying consumable charges of all kinds, including ammunition, missiles, capacitor charges, nanite paste and bombs. ",240000,240000,240000,180000
Mammoth,987,652,"<font size=""14""><b>Development</b></font>
The Mammoth is the largest industrial ship of the Minmatar Republic. It was designed with aid from the Gallente Federation, making the Mammoth both large and powerful yet also nimble and technologically advanced. A very good buy.",240000,240000,240000,180000
Wreathe,988,653,"<font size=""14""><b>Development</b></font>
The Wreathe is an old ship of the Minmatar Republic and one of the oldest ships still in usage. The design of the Wreathe is very plain, which is the main reason for its longevity, but it also makes the ship incapable of handling anything but the most mundane tasks.",240000,240000,240000,180000
Kryos,989,654,"<font size=""14""><b>Development</b></font>
Aside from being endowed with the usual hauling capabilities of Industrials, the Kryos possesses an extra cargo bay. That bay is equipped with precise temperature and pressure controls, and is dedicated solely to ferrying minerals. The Kryos was originally designed as a variant of the Iteron, but eventually evolved to perform an entirely separate role.",240000,240000,240000,180000
Epithal,990,655,"<font size=""14""><b>Development</b></font>
Aside from being endowed with the usual hauling capabilities of Industrials, the Epithal possesses an extra cargo bay. That bay is equipped with sealed sub-chambers capable of maintaining hospitable environments for practically any kind of organism or entity, from biocells to viral agents, and is meant solely for ferrying planetary commodities. The Epithal was originally designed as a variant of the Iteron, but eventually evolved to perform an entirely separate role.",240000,240000,240000,180000
Miasmos,991,656,"<font size=""14""><b>Development</b></font>
Aside from being endowed with the usual hauling capabilities of Industrials, the Miasmos possesses an extra cargo bay. That bay is equipped with sealed, temperature-controlled vats, and is meant solely for ferrying all types of interstellar ore: ice, gasses and asteroids. The Miasmos was originally designed as a variant of the Iteron, but eventually evolved to perform an entirely separate role.",240000,240000,240000,180000
Iteron Mark V,992,657,"<font size=""14""><b>Development</b></font>
This lumbering giant is the latest and last iteration in a chain of haulers. It is the only one to retain the original ""Iteron""-class callsign, but while all the others eventually evolved into specialized versions, the Iteron Mk. V still does what haulers do best: Transporting enormous amounts of goods and commodities between the stars.",240000,240000,240000,180000
Erebus,1002,671,"<i>From the formless void's gaping maw, there springs an entity.  Not an entity such as any you can conceive of, nor I; an entity more primordial than the elements themselves, yet constantly coming into existence even as it is destroyed.  It is the Child of Chaos, the Pathway to the Next.

The darkness shall swallow the land, and in its wake there will follow a storm, as the appetite of nothing expands over the world.

From the formless void's gaping maw, there springs an entity.</i>

Dr. Damella Macaper
<i>The Seven Events of the Apocalypse</i>

",30720000,20480000,10240000,7200000
Caldari Shuttle,967,672,Caldari Shuttle,120000,120000,120000,90000
Auto Targeting System I,1208,1182,Targets any hostile ship within range on activation. Grants a +2 bonus to ship's max targets when online,12000,12000,12000,9000
Small Armor Repairer II,1184,1183,This module uses nano-assemblers to repair damage done to the armor of the ship.,18000,12000,300000,45000
Small Capacitor Battery I,1186,1185,Increases capacitor storage. Provides defense against Energy Leech and Energy Neutralizer effects.,12000,12000,12000,9000
Small Remote Capacitor Transmitter II,1191,1190,Transfers capacitor energy to another ship.,36000,24000,600000,90000
Cap Recharger I,1196,1195,Increases the capacitor recharge rate.,12000,12000,12000,9000
EM Plating I,1204,1197,An array of microscopic reactive prisms that disperse electromagnetic radiation. Grants a bonus to EM resistance. Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,12000,12000,12000,9000
EM Plating II,1205,1198,An array of microscopic reactive prisms that disperse electromagnetic radiation. Grants a bonus to EM resistance. Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,18000,12000,300000,45000
Wasp I,1214,1201,Heavy Attack Drone,9600,9600,9600,7200
Civilian Mining Drone,1218,1202,Civilian Mining Drone,2400,2400,12000,24000
Overdrive Injector System II,1237,1236,This monster unit vastly increases engine power at the expense of cargo capacity.

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,18000,12000,300000,45000
Overdrive Injector System I,1245,1244,This monster unit vastly increases engine power at the expense of cargo capacity.

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,12000,12000,12000,9000
Capacitor Flux Coil I,1247,1246,"Increases capacitor recharge rate, but causes a reduction in maximum capacitor storage.  ",12000,12000,12000,9000
Capacitor Flux Coil II,1249,1248,"Increases capacitor recharge rate, but causes a reduction in maximum capacitor storage.  ",24000,16000,400000,60000
Shield Flux Coil I,1255,1254,Increases shield recharge rate while lowering the maximum shield capacity.,12000,12000,12000,9000
Shield Flux Coil II,1257,1256,Increases shield recharge rate while lowering the maximum shield capacity.,24000,16000,400000,60000
Explosive Plating I,1265,1264,An array of microscopic reactive bombs that are exploded to counter explosive damage. Grants a bonus to explosive resistance. Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,12000,12000,12000,9000
Explosive Plating II,1267,1266,An array of microscopic reactive bombs that are exploded to counter explosive damage. Grants a bonus to explosive resistance. Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,18000,12000,300000,45000
Layered Plating I,1275,1274,"This plating is composed of several additional tritanium layers, effectively increasing its hit points.

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.",12000,12000,12000,9000
Layered Plating II,1277,1276,"This plating is composed of several additional tritanium layers, effectively increasing its hit points.

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.",18000,12000,300000,45000
Kinetic Plating I,1285,1284,This plating utilizes a magnetic field to deflect kinetic attacks. Grants a bonus to kinetic resistance. Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,12000,12000,12000,9000
Kinetic Plating II,1287,1286,This plating utilizes a magnetic field to deflect kinetic attacks. Grants a bonus to kinetic resistance. Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,18000,12000,300000,45000
Thermic Plating I,1295,1294,Attempts to distribute thermal energy over the entire plating. Grants a bonus to thermal resistance. Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,12000,12000,12000,9000
Thermic Plating II,1297,1296,Attempts to distribute thermal energy over the entire plating. Grants a bonus to thermal resistance. Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,18000,12000,300000,45000
Adaptive Nano Plating I,1305,1304,"This cutting edge system is the most versatile nano plating around. It has the ability to instantly adapt to any attack. However, it is somewhat less effective than a specialized plating. Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.",12000,12000,12000,9000
Adaptive Nano Plating II,1307,1306,"This cutting edge system is the most versatile nano plating around. It has the ability to instantly adapt to any attack. However, it is somewhat less effective than a specialized plating. Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.",18000,12000,300000,45000
Expanded Cargohold I,1318,1317,Increases cargo hold capacity.,12000,12000,12000,9000
Expanded Cargohold II,1320,1319,Increases cargo hold capacity.,18000,12000,300000,45000
Reinforced Bulkheads I,1334,1333,Increases structural hit points while reducing inertia and overall top speed.,12000,12000,12000,9000
Reinforced Bulkheads II,1336,1335,Increases structural hit points while reducing inertia and overall top speed.,18000,12000,300000,45000
Reactor Control Unit I,1354,1353,Boosts power core output.,12000,12000,12000,9000
Reactor Control Unit II,1356,1355,Boosts power core output.,24000,16000,400000,60000
Inertia Stabilizers I,1404,1403,Improves ship handling and maneuverability.

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,12000,12000,12000,9000
Inertia Stabilizers II,1406,1405,Improves ship handling and maneuverability.

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,18000,12000,300000,45000
Shield Power Relay II,1423,1422,"Diverts power from the capacitors to the shields, thereby increasing the shield recharge rate.",24000,16000,400000,60000
Auto Targeting System II,1437,1436,Targets any hostile ship within range on activation. Grants a +3 bonus to ship's max targets when online,24000,24000,450000,67500
Capacitor Power Relay I,1446,1445,Increases capacitor recharge rate at the expense of shield boosting.,12000,12000,12000,9000
Capacitor Power Relay II,1448,1447,Increases capacitor recharge rate at the expense of shield boosting.,24000,16000,400000,60000
Power Diagnostic System I,1540,1539,Monitors and optimizes the power grid. Gives a slight boost to power core output and a minor increase in shield and capacitor recharge rate.,12000,12000,12000,9000
Power Diagnostic System II,1542,1541,Monitors and optimizes the power grid. Gives a slight boost to power core output and a minor increase in shield and capacitor recharge rate.,24000,16000,400000,60000
Small Proton Smartbomb I,1548,1547,Radiates an omnidirectional pulse from the ship that causes explosive damage to surrounding vessels.,12000,12000,12000,9000
Small Proton Smartbomb II,1550,1549,Radiates an omnidirectional pulse from the ship that causes explosive damage to surrounding vessels.,24000,16000,600000,90000
Small Graviton Smartbomb I,1552,1551,Radiates an omnidirectional pulse from the ship that causes kinetic damage to surrounding vessels.,12000,12000,12000,9000
Small Graviton Smartbomb II,1554,1553,Radiates an omnidirectional pulse from the ship that causes kinetic damage to surrounding vessels.,24000,16000,600000,90000
Small Plasma Smartbomb I,1558,1557,Radiates an omnidirectional pulse from the ship that causes thermal damage to surrounding vessels.,12000,12000,12000,9000
Small Plasma Smartbomb II,1560,1559,Radiates an omnidirectional pulse from the ship that causes thermal damage to surrounding vessels.,24000,16000,600000,90000
Small EMP Smartbomb I,1564,1563,Radiates an omnidirectional pulse from the ship that causes EM damage to surrounding vessels.,12000,12000,12000,9000
Small EMP Smartbomb II,1566,1565,Radiates an omnidirectional pulse from the ship that causes EM damage to surrounding vessels.,24000,16000,600000,90000
EM Ward Amplifier I,1809,1808,Boosts the EM resistance of the shield.<br><br>Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,12000,12000,12000,9000
Scourge Auto-Targeting Light Missile I,1811,1810,A Caldarian light missile with a graviton warhead and automatic guidance system.,6000,6000,6000,4500
Nova Auto-Targeting Light Missile I,1815,1814,A Minmatar light missile with a nuclear warhead and automatic guidance system.,6000,6000,6000,4500
Inferno Auto-Targeting Light Missile I,1817,1816,A Gallente light missile with a plasma warhead and automatic guidance system.,6000,6000,6000,4500
Scourge Auto-Targeting Heavy Missile I,1819,1818,A Caldarian heavy missile with a graviton warhead and automatic guidance system.,6000,6000,6000,4500
Mjolnir Auto-Targeting Heavy Missile I,1821,1820,An Amarr heavy missile with an EMP warhead and automatic guidance system.,6000,6000,6000,4500
Nova Auto-Targeting Heavy Missile I,1823,1822,A Minmatar heavy missile with a nuclear warhead and automatic guidance system.,6000,6000,6000,4500
Inferno Auto-Targeting Heavy Missile I,1825,1824,A Gallente heavy missile with a plasma warhead and automatic guidance system.,6000,6000,6000,4500
Scourge Auto-Targeting Cruise Missile I,1827,1826,A Caldarian cruise missile with a graviton warhead and automatic guidance system.,6000,6000,6000,4500
Mjolnir Auto-Targeting Cruise Missile I,1829,1828,An Amarr cruise missile with an EMP warhead and automatic guidance system.,6000,6000,6000,4500
Nova Auto-Targeting Cruise Missile I,1831,1830,A Minmatar cruise missile with a nuclear warhead and automatic guidance system.,6000,6000,6000,4500
Inferno Auto-Targeting Cruise Missile I,1833,1832,A Gallente cruise missile with a plasma warhead and automatic guidance system ,6000,6000,6000,4500
Ship Scanner II,1856,1855,"Scans the target ship and provides a tactical analysis of its capabilities. The further it goes beyond scan range, the more inaccurate its results will be.",24000,24000,100000,15000
Rapid Light Missile Launcher I,1876,1875,"Launcher for cruisers intended to counter fast frigates, can only be fitted with regular light missiles.",12000,12000,12000,9000
Rapid Light Missile Launcher II,1878,1877,"Launcher for cruisers intended to counter fast frigates, can only be fitted with regular and advanced light missiles.",18000,12000,300000,45000
Bestower,1945,1944,"<font size=""14""><b>Development</b></font>
The Bestower has for decades been used by the Empire as a slave transport, shipping human labor between cultivated planets in Imperial space. As a proof to how reliable this class has been through the years, the Emperor has used an upgraded version of this very same class as transports for the Imperial Treasury. The Bestower has very thick armor and large cargo space.
",240000,240000,240000,180000
ECCM - Radar I,11625,1947,A secondary electronic array that provides a significant boost to sensor strength for a short time. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,12000,12000,12000,9000
ECM - Ion Field Projector I,11628,1948,Projects a low intensity field of ionized particles to disrupt the effectivenes of enemy sensors. Very effective against Magnetometric-based sensors. ,12000,12000,12000,9000
Sensor Booster II,11808,1952,Gives an increase to targeting range and scan resolution. This module can be loaded with scripts to increase its effectiveness in certain areas.  

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,24000,24000,450000,67500
ECM - Spatial Destabilizer I,11631,1955,Projects random bursts of gravitons that disrupt accurate targeting. As expected this system works best against Gravimetric targeting systems.,12000,12000,12000,9000
ECM - White Noise Generator I,11632,1956,Disrupts enemy targeting by generating a field of random sensor noise. Works especially well against Radar systems.,12000,12000,12000,9000
ECM - Multispectral Jammer I,11629,1957,An advanced multipurpose jamming system designed to offer blanket protection against all forms of targeting. Not as effective as the more specialized systems but is still effective against less advanced targeting systems. ,12000,12000,12000,9000
ECM - Phase Inverter I,11630,1958,Analyzes incoming targeting signals and attempts to counter them by emitting an out-of-phase signal back. Great against Ladar targeting systems.,12000,12000,12000,9000
ECCM Projector I,11770,1959,ECCM Projectors utilize a sophisticated system of electronics to fortify the sensor strengths of an allied ship allowing it to overcome jamming.

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,12000,12000,12000,9000
ECCM Projector II,11771,1960,ECCM Projectors utilize a sophisticated system of electronics to fortify the sensor strengths of an allied ship allowing it to overcome jamming.

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,60000,40000,2000000,150000
Remote Sensor Booster I,11798,1963,Can only be activated on targets to increase their scan resolutions and boost their targeting range.  This module can be loaded with scripts to increase its effectiveness in certain areas. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,12000,12000,12000,9000
Remote Sensor Booster II,11799,1964,Can only be activated on targets to increase their scan resolutions and boost their targeting range.  This module can be loaded with scripts to increase its effectiveness in certain areas. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,24000,24000,450000,67500
Remote Sensor Dampener I,11803,1968,Reduces the range and speed of a targeted ship's sensors. This module can be loaded with scripts to increase its effectiveness in certain areas. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,12000,12000,12000,9000
Remote Sensor Dampener II,11804,1969,Reduces the range and speed of a targeted ship's sensors. This module can be loaded with scripts to increase its effectiveness in certain areas. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,24000,24000,800000,120000
Sensor Booster I,11620,1973,Gives an increase to targeting range and scan resolution. This module can be loaded with scripts to increase its effectiveness in certain areas.  

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.

,12000,12000,12000,9000
Tracking Computer I,11621,1977,"By predicting the trajectory of targets, it helps to boost the tracking speed and range of turrets. This module can be loaded with scripts to increase its effectiveness in certain areas. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.",12000,12000,12000,9000
Tracking Computer II,11840,1978,"By predicting the trajectory of targets, it helps to boost the tracking speed and range of turrets. This module can be loaded with scripts to increase its effectiveness in certain areas. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.",24000,24000,700000,105000
Signal Amplifier I,11634,1986,Augments the maximum target acquisition range. Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,12000,12000,12000,9000
Signal Amplifier II,11812,1987,Augments the maximum target acquisition range. Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,36000,24000,600000,90000
Tracking Enhancer I,11616,1998,Enhances the range and improves the tracking speed of turrets.    

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,12000,12000,12000,9000
Tracking Enhancer II,11848,1999,Enhances the range and improves the tracking speed of turrets.    

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,24000,24000,500000,75000
ECCM - Ladar I,11623,2002,A secondary electronic array that provides a significant boost to sensor strength for a short time. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,12000,12000,12000,9000
ECCM - Magnetometric I,11624,2003,A secondary electronic array that provides a significant boost to sensor strength for a short time. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,12000,12000,12000,9000
ECCM - Gravimetric I,11622,2004,A secondary electronic array that provides a significant boost to sensor strength for a short time. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,12000,12000,12000,9000
ECCM - Omni I,11626,2005,A secondary electronic array that provides a significant boost to sensor strength for a short time. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,12000,12000,12000,9000
Omen,2007,2006,<font size="14"><b>Development</b></font>
The Omen is a stereotypical example of the Amarrian School of thinking when it comes to ship design: thick armor and hard hitting lasers. Advancements in heat dissipation allow the Omen to fire its lasers faster than other ships without this technology.,240000,240000,240000,180000
Medium Capacitor Battery I,2019,2018,Increases capacitor storage. Provides defense against Energy Leech and Energy Neutralizer effects.,12000,12000,12000,9000
Large Capacitor Battery I,2021,2020,Increases capacitor storage. Provides defense against Energy Leech and Energy Neutralizer effects.,12000,12000,12000,9000
Medium Capacitor Booster II,2025,2024,Provides a quick injection of power into the capacitor.,30000,20000,500000,75000
Cap Recharger II,2033,2032,Increases the capacitor recharge rate.,24000,24000,400000,60000
Cargo Scanner II,2039,2038,Scans the cargo hold of another ship.,24000,24000,100000,15000
Damage Control I,2047,2046,"Utilizes a combination of containment field emitters and redundancy systems to prevent critical system damage. 

Grants a bonus to resistance for shield, armor and hull.

Only one Damage Control can be activated at a given time.",12000,12000,12000,9000
Damage Control II,2049,2048,"Utilizes a combination of containment field emitters and redundancy systems to prevent critical system damage. 

Grants a bonus to resistance for shield, armor and hull.

Only one Damage Control can be activated at a given time.",36000,24000,600000,90000
Remote Tracking Computer I,11617,2103,"Establishes a fire control link with another ship, thereby boosting the turret range and tracking speed of that ship. This module can be loaded with scripts to increase its effectiveness in certain areas. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.",12000,12000,12000,9000
Remote Tracking Computer II,11851,2104,"Establishes a fire control link with another ship, thereby boosting the turret range and tracking speed of that ship. This module can be loaded with scripts to increase its effectiveness in certain areas. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.",24000,24000,500000,75000
Tracking Disruptor I,11614,2108,Disrupts the turret range and tracking speed of the target ship. This module can be loaded with scripts to increase its effectiveness in certain areas. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,12000,12000,12000,9000
Tracking Disruptor II,11844,2109,Disrupts the turret range and tracking speed of the target ship. This module can be loaded with scripts to increase its effectiveness in certain areas. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,24000,24000,800000,120000
ECM Burst II,2118,2117,"Emits random electronic bursts which have a chance of momentarily disrupting target locks on ships within range.

Given the unstable nature of the bursts and the amount of internal shielding needed to ensure they do not affect their own point of origin, only battleship-class vessels can use this module to its fullest extent. 

Note: Only one module of this type can be activated at the same time",36000,24000,600000,90000
Crucifier,2162,2161,"<font size=""14""><b>Development</b></font>
The Crucifier was first designed as an explorer/scout, but the current version employs the electronic equipment originally intended for scientific studies for more offensive purposes. The Crucifier's electronic and computer systems take up a large portion of the internal space leaving limited room for cargo or traditional weaponry.  ",120000,120000,120000,90000
Infiltrator I,2174,2173,Medium Scout Drone,9600,9600,9600,7200
Infiltrator II,2176,2175,Medium Scout Drone,24000,16000,200000,30000
Hammerhead I,2184,2183,Medium Scout Drone,9600,9600,9600,7200
Hammerhead II,2186,2185,Medium Scout Drone,24000,16000,200000,30000
Praetor I,2194,2193,Heavy Attack Drone,9600,9600,9600,7200
Praetor II,2196,2195,Heavy Attack Drone,36000,24000,300000,45000
Acolyte I,2204,2203,Light Scout Drone,9600,9600,9600,7200
Acolyte II,2206,2205,Light Scout Drone,12000,8000,100000,15000
Ghost Heavy Missile,2213,2212,The Scourge is an old relic from the Caldari-Gallente War that is still in widespread use because of its low price and versatility.,6000,6000,6000,4500
ECCM - Omni II,11762,2258,A secondary electronic array that provides a significant boost to sensor strength for a short time. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,41000,28000,700000,105000
ECCM - Gravimetric II,11750,2259,A secondary electronic array that provides a significant boost to sensor strength for a short time. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,36000,24000,600000,90000
ECCM - Ladar II,11754,2260,A secondary electronic array that provides a significant boost to sensor strength for a short time. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,36000,24000,600000,90000
ECCM - Magnetometric II,11758,2261,A secondary electronic array that provides a significant boost to sensor strength for a short time. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,36000,24000,600000,90000
ECCM - Radar II,11766,2262,A secondary electronic array that provides a significant boost to sensor strength for a short time. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,36000,24000,600000,90000
Adaptive Invulnerability Field II,2282,2281,"Boosts shield resistance against all damage types.<br><br>Penalty: Using more than one type of this module, or similar modules that affect the same resistance type, will result in a penalty to the boost you get on that type of resistance.",72000,48000,1200000,180000
Explosive Deflection Field I,2290,2289,"Boosts shield resistance against explosive damage.<br><br>Penalty: Using more than one type of this module, or similar modules that affect the same resistance type, will result in a penalty to the boost you get on that type of resistance.",12000,12000,12000,9000
Kinetic Deflection Field I,2292,2291,"Boosts shield resistance against kinetic damage.<br><br>Penalty: Using more than one type of this module, or similar modules that affect the same resistance type, will result in a penalty to the boost you get on that type of resistance",12000,12000,12000,9000
EM Ward Field I,2294,2293,"Boosts shield resistance against EM damage.<br><br>Penalty: Using more than one type of this module, or similar modules that affect the same resistance type, will result in a penalty to the boost you get on that type of resistance.",12000,12000,12000,9000
Thermic Dissipation Field I,2296,2295,"Boosts shield resistance against thermal damage.<br><br>Penalty: Using more than one type of this module, or similar modules that affect the same resistance type, will result in a penalty to the boost you get on that type of resistance.",12000,12000,12000,9000
Explosive Deflection Field II,2298,2297,"Boosts shield resistance against explosive damage.<br><br>Penalty: Using more than one type of this module, or similar modules that affect the same resistance type, will result in a penalty to the boost you get on that type of resistance.",54000,36000,900000,135000
Kinetic Deflection Field II,2300,2299,"Boosts shield resistance against kinetic damage.<br><br>Penalty: Using more than one type of this module, or similar modules that affect the same resistance type, will result in a penalty to the boost you get on that type of resistance",54000,36000,900000,135000
EM Ward Field II,2302,2301,"Boosts shield resistance against EM damage.<br><br>Penalty: Using more than one type of this module, or similar modules that affect the same resistance type, will result in a penalty to the boost you get on that type of resistance.",54000,36000,900000,135000
Thermic Dissipation Field II,2304,2303,"Boosts shield resistance against thermal damage.<br><br>Penalty: Using more than one type of this module, or similar modules that affect the same resistance type, will result in a penalty to the boost you get on that type of resistance.",54000,36000,900000,135000
Shield Power Relay I,2332,2331,"Diverts power from the capacitors to the shields, thereby increasing the shield recharge rate.",12000,12000,12000,9000
Survey Scanner II,2334,2333,"Scans the composition of asteroids, ice and gas clouds.",24000,24000,100000,15000
Passive Targeter II,2342,2341,Uses advanced gravitational and visual targeting to identify threats. Allows target lock without alerting the ship to a possible threat.,24000,24000,400000,60000
Small Hull Repairer II,2356,2355,Makes use of nano-assembler technology in order to repair damage done to the structure.,18000,12000,300000,45000
Heat Sink I,11612,2363,"Dissipates energy weapon damage efficiently, thus allowing them to be fired more rapidly. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.",12000,12000,12000,9000
Heat Sink II,11795,2364,"Dissipates energy weapon damage efficiently, thus allowing them to be fired more rapidly. 

Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.",30000,20000,500000,75000
Light Missile Launcher II,2405,2404,Favored by many for its average capacity and firing rate. Useful in both fast attack raids and longer battles.
,24000,16000,400000,60000
Heavy Missile Launcher II,2411,2410,"Designed for long engagements between medium sized ships. Slow firing rate, but makes up for it with a large missile capacity.",42000,28000,700000,105000
Torpedo Launcher II,2421,2420,"A massive launcher designed for extended bombardments of hard targets like battleships and stations. Contains a huge missile capacity, but has a slow firing rate and trouble targeting small, fast ships.",72000,48000,1200000,180000
Wasp II,2437,2436,Heavy Attack Drone,36000,24000,300000,45000
Ogre I,2445,2444,Heavy Attack Drone,9600,9600,9600,7200
Ogre II,2447,2446,Heavy Attack Drone,36000,24000,300000,45000
Hobgoblin I,2455,2454,Light Scout Drone,9600,9600,9600,7200
Hobgoblin II,2457,2456,Light Scout Drone,12000,8000,100000,15000
Hornet I,2465,2464,Light Scout Drone,9600,9600,9600,7200
Hornet II,2467,2466,Light Scout Drone,12000,8000,100000,15000
Berserker I,2477,2476,Heavy Attack Drone,9600,9600,9600,7200
Berserker II,2479,2478,Heavy Attack Drone,36000,24000,300000,45000
Warrior I,2487,2486,Light Scout Drone,9600,9600,9600,7200
Warrior II,2489,2488,Light Scout Drone,12000,8000,100000,15000
Mjolnir Torpedo,2507,2506,"An ultra-heavy EMP missile. While it is a slow projectile, its sheer damage potential is simply staggering.",6000,6000,6000,4500
Nova Torpedo,2509,2508,"An ultra-heavy nuclear missile. While it is a slow projectile, its sheer damage potential is simply staggering.   ",6000,6000,6000,4500
Inferno Torpedo,2511,2510,"An ultra-heavy plasma missile. While it is a slow projectile, its sheer damage potential is simply staggering.",6000,6000,6000,4500
Mjolnir Rocket,2513,2512,A small rocket with an EMP warhead. ,6000,6000,6000,4500
Inferno Rocket,2515,2514,A small rocket with a plasma warhead.  ,6000,6000,6000,4500
Nova Rocket,2517,2516,A small rocket with a nuclear warhead.,6000,6000,6000,4500
Explosive Deflection Amplifier I,2530,2529,Boosts the explosive resistance of the shield.<br><br>Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,12000,12000,12000,9000
Explosive Deflection Amplifier II,2532,2531,Boosts the explosive resistance of the shield.<br><br>Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,30000,20000,500000,75000
Thermic Dissipation Amplifier I,2538,2537,Boosts the thermal resistance of the shield.<br><br>Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,12000,12000,12000,9000
Thermic Dissipation Amplifier II,2540,2539,Boosts the thermal resistance of the shield.<br><br>Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,30000,20000,500000,75000
Kinetic Deflection Amplifier I,2546,2545,Boosts the kinetic resistance of the shield.<br><br>Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,12000,12000,12000,9000
Kinetic Deflection Amplifier II,2548,2547,Boosts the kinetic resistance of the shield.<br><br>Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,30000,20000,500000,75000
EM Ward Amplifier II,2554,2553,Boosts the EM resistance of the shield.<br><br>Penalty: Using more than one type of this module or similar modules that affect the same attribute on the ship will be penalized.,30000,20000,500000,75000
ECM - Phase Inverter II,11783,2559,Analyzes incoming targeting signals and attempts to counter them by emitting an out-of-phase signal back. Great against Ladar targeting systems.,24000,24000,800000,120000
ECM - Ion Field Projector II,11775,2563,Projects a low intensity field of ionized particles to disrupt the effectivenes of enemy sensors. Very effective against Magnetometric-based sensors. ,24000,24000,800000,120000
ECM - Multispectral Jammer II,11779,2567,An advanced multipurpose jamming system designed to offer blanket protection against all forms of targeting. Not as effective as the more specialized systems but is still effective against less advanced targeting systems. ,24000,24000,900000,135000
ECM - Spatial Destabilizer II,11787,2571,Projects random bursts of gravitons that disrupt accurate targeting. As expected this system works best against Gravimetric targeting systems.,24000,36000,800000,120000
